stop_id,stop_name,route_id,latitude,longitude,source
OSM_2291478677,Babarmahal Stop,Kathmandu Transit,27.6923373,85.3243999,Yatayat / OpenStreetMap
OSM_2291478678,Bagbazar Stop,Kamalbinayak-Ratnapark,27.7058275,85.3172038,Yatayat / OpenStreetMap
OSM_2291478679,Baneshwor Bus Station,Kathmandu Transit,27.688231,85.3357479,Yatayat / OpenStreetMap
OSM_2291478681,Buddhanagar Stop,Kathmandu Transit,27.6893299,85.331039,Yatayat / OpenStreetMap
OSM_2291478682,Byasi Stop,Kathmandu Transit,27.6748038,85.4274435,Yatayat / OpenStreetMap
OSM_2291478683,gathaghar,Kathmandu Transit,27.6739692,85.3730508,Yatayat / OpenStreetMap
OSM_2291478684,Jadibuti,Kathmandu Transit,27.6751899,85.3539203,Yatayat / OpenStreetMap
OSM_2291478686,Mahakali Stop,Kathmandu Transit,27.6759638,85.4318311,Yatayat / OpenStreetMap
OSM_2291478687,Mahalaxmi Stop,Kathmandu Transit,27.6761023,85.4337685,Yatayat / OpenStreetMap
OSM_2291478688,Minbhawan,Kathmandu Transit,27.6876537,85.3384755,Yatayat / OpenStreetMap
OSM_2291478689,Putalisadak Stop,Kathmandu Transit,27.7056901,85.3225524,Yatayat / OpenStreetMap
OSM_2291478690,Radhe Radhe,Kathmandu Transit,27.6745899,85.3974795,Yatayat / OpenStreetMap
OSM_2291478691,Sallaghari Stop,Kathmandu Transit,27.6740754,85.4099231,Yatayat / OpenStreetMap
OSM_2291478692,Srijananagar,Kathmandu Transit,27.6729111,85.4042665,Yatayat / OpenStreetMap
OSM_2291478693,Thimi Stop,Kathmandu Transit,27.6733356,85.3862931,Yatayat / OpenStreetMap
OSM_2291478694,Tinkune Bhaktapur,Kathmandu Transit,27.6722127,85.4068271,Yatayat / OpenStreetMap
OSM_2291478695,Tinkune Subidhanagar,Kathmandu Transit,27.6860559,85.3456619,Yatayat / OpenStreetMap
OSM_2336918671,Dakshinkali,Ratna Park - Daksinkali,27.6130622,85.2646695,Yatayat / OpenStreetMap
OSM_2336938449,Pingalasthan,Purano Bus Park - jorpati,27.7058076,85.3471055,Yatayat / OpenStreetMap
OSM_2336968994,Barahi Movies,Kathmandu Transit,27.6659165,85.4214928,Yatayat / OpenStreetMap
